record_id,timestamp,order_id,product_id,product_category,quantity,unit_price,total_price,supplier_id,supplier_region,warehouse_id,warehouse_region,lead_time_days,transportation_delay_days,fulfillment_status,inventory_level,reorder_point,demand_forecast,demand_forecast_confidence,agent_decision,decision_reason,procurement_cost,transportation_cost,holding_cost,penalty_cost,carbon_emissions_kg,customer_satisfaction_score,anomalies_flag,agent_observation,agent_action_text
R-000001,2025-11-17T13:35:26.767525,14b7dd57-0d10-4415-8fe4-89ff0f5e6d1b,P-2354,furniture,5.0,369.59,1847.95,S-024,South America,W-19,ERR_19a025,5.0,3.0,pending,232.0,54.0,1.0,0.1,do_nothing,inventory sufficient for forecast,1847.95,85.94,23.2,0.0,14.5,4.12,False,"Order 14b7dd57-0d10-4415-8fe4-89ff0f5e6d1b: product P-2354 (furniture), qty 5, inventory 232, forecast 1 (conf 0.1)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000002,2025-11-17T13:45:26.767525,9d9f7af3-4d17-48ac-9820-3754391ecdf8,P-4734,furniture,1.0,261.21,261.21,S-030,Asia,W-17,North America,3.0,0.0,processing,200.0,53.0,15.0,0.37,do_nothing,inventory sufficient for forecast,261.21,72.16,20.0,0.0,1.46,4.15,False,"Order 9d9f7af3-4d17-48ac-9820-3754391ecdf8: product P-4734 (furniture), qty 1, inventory 200, forecast 15 (conf 0.37)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000003,2025-11-17T13:55:26.767525,57691a5e-0b0b-4a41-b419-72159d5a0006,P-3884,furniture,1.0,198.48,198.48,S-030,South America,W-03,Oceania,8.0,0.0,shipped,155.0,51.0,2.0,0.54,do_nothing,inventory sufficient for forecast,198.48,34.48,15.5,0.0,3.04,4.46,False,"Order 57691a5e-0b0b-4a41-b419-72159d5a0006: product P-3884 (furniture), qty 1, inventory 155, forecast 2 (conf 0.54)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000004,2025-11-17T14:05:26.767525,a464f118-30ce-426a-abb9-521a13402081,P-6915,electronics,2.0,227.47,454.94,S-043,Asia,W-18,Asia,1.0,0.0,pending,378.0,27.0,5.0,0.55,do_nothing,inventory sufficient for forecast,454.94,75.38,37.8,0.0,8.29,5.0,False,"Order a464f118-30ce-426a-abb9-521a13402081: product P-6915 (electronics), qty 2, inventory 378, forecast 5 (conf 0.55)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000005,2025-11-17T14:15:26.767525,0bd7e7e2-4747-4396-aa7a-ec023e6f2e8a,P-6029,pharma,1.0,34.93,34.93,S-003,Europe,W-07,Europe,5.0,2.0,delivered,310.0,58.0,15.0,0.43,do_nothing,inventory sufficient for forecast,34.93,69.21,31.0,0.0,5.68,5.0,False,"Order 0bd7e7e2-4747-4396-aa7a-ec023e6f2e8a: product P-6029 (pharma), qty 1, inventory 310, forecast 15 (conf 0.43)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000006,2025-11-17T14:25:26.767525,6896a15f-f737-4db7-a795-628947376fcf,P-6162,food,3.0,8.76,26.28,S-009,Oceania,W-11,Oceania,5.0,3.0,delivered,130.0,39.0,39.0,0.15,do_nothing,inventory sufficient for forecast,26.28,66.37,13.0,0.0,12.16,3.59,False,"Order 6896a15f-f737-4db7-a795-628947376fcf: product P-6162 (food), qty 3, inventory 130, forecast 39 (conf 0.15)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000007,2025-11-17T14:35:26.767525,b8d5ff87-24de-437f-a8d1-826eea2370b4,P-4738,electronics,6.0,161.83,970.98,S-034,Asia,W-12,,10.0,0.0,pending,209.0,61.0,9.0,0.62,do_nothing,inventory sufficient for forecast,970.98,48.75,20.9,0.0,12.87,3.69,False,"Order b8d5ff87-24de-437f-a8d1-826eea2370b4: product P-4738 (electronics), qty 6, inventory 209, forecast 9 (conf 0.62)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000008,2025-11-17T14:45:26.767525,438c8651-532e-4aa3-9196-be7094df232e,P-3550,food,5.0,13.03,65.15,S-022,Europe,W-05,South America,4.0,0.0,delivered,250.0,56.0,21.0,0.85,do_nothing,inventory sufficient for forecast,65.15,76.47,25.0,0.0,20.33,4.24,False,"Order 438c8651-532e-4aa3-9196-be7094df232e: product P-3550 (food), qty 5, inventory 250, forecast 21 (conf 0.85)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000009,2025-11-17T14:55:26.767525,c5ec1e27-3c6b-467b-a9d2-5b6337524804,P-6511,food,1.0,9.88,9.88,S-041,North America,W-13,Africa,9.0,0.0,processing,135.0,48.0,32.0,0.9,do_nothing,inventory sufficient for forecast,9.88,37.17,13.5,0.0,4.98,4.32,False,"Order c5ec1e27-3c6b-467b-a9d2-5b6337524804: product P-6511 (food), qty 1, inventory 135, forecast 32 (conf 0.9)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000010,2025-11-17T15:05:26.767525,3590ec88-dde0-49f3-a114-61ef4cd9c343,P-8634,pharma,1.0,30.44,30.44,S-046,Oceania,W-04,Oceania,8.0,0.0,shipped,232.0,51.0,20.0,0.81,do_nothing,inventory sufficient for forecast,30.44,89.61,23.2,0.0,2.19,3.47,False,"Order 3590ec88-dde0-49f3-a114-61ef4cd9c343: product P-8634 (pharma), qty 1, inventory 232, forecast 20 (conf 0.81)",Action: do_nothing. Reason: inventory sufficient for forecast.
